Tiempo (min),Absorbancia_Exp1,Absorbancia_Exp2,Absorbancia_Exp3
2.5,0.0,0.11999999999999988,0.09699999999999998
7.5,0.391,0.31699999999999995,0.16100000000000003
12.5,0.758,0.31400000000000006,0.49
17.5,1.622,0.528,0.32600000000000007
22.5,0.5049999999999999,0.645,0.381
27.5,1.114,2.1100000000000003,0.907
32.5,1.2209999999999999,1.5999999999999999,1.143
37.5,1.163,1.7049999999999998,1.272
52.5,0.9470000000000001,1.506,0.7249999999999999
62.5,0.8440000000000001,1.6209999999999998,1.208
72.5,0.6679999999999999,1.273,0.9099999999999999
82.5,0.9839999999999998,1.8760000000000001,2.034
92.5,1.8059999999999998,1.4789999999999999,1.336
122.5,1.4600000000000002,2.247,1.6199999999999999
132.5,1.352,1.982,1.3059999999999998
142.5,2.277,1.793,1.953
152.5,2.075,2.3179999999999996,1.8920000000000001
162.5,1.913,1.1300000000000001,1.723
172.5,2.032,2.162,1.7329999999999999
182.5,1.8739999999999999,1.1500000000000001,1.768
